ID,Item,Company,Quantity,Currency,Conversion Rate,ID (Items),Item Code (Items),Qty (Items),Rate (Items),UOM (Items)
,,,,,,plq7qml05l,"Flat Brushes - Size 1,3,5,6",6,88.75,Nos
,,,,,,plq17ad3mq,A4 Size Plain Sheets (25 sheets),2,18.64,Nos
,,,,,,plqmbfc75d,Opendoor Thinking Assessment-SAS,2,480,Nos
,,,,,,plqp1vlqat,Worksheet,1,300,Nos
,,,,,,plqmaecbnq,SAS KS Almanac,1,75,Nos
,,,,,,plq4sqgus0,SAS KS Mini Almanac,1,12,Nos
,,,,,,plqj4tkcll,SAS KS ID Card,1,78,Nos
,,,,,,plq5msd7k7,DSE KIT,1,0,Nos
BOM-SAS KS Grade 9 DSE Bookkit- (PA/CA/HS/SST)-001,SAS KS Grade 9 DSE Bookkit- (PA/CA/HS/SST),Inventre Edu Services Pvt Ltd,1,INR,1,lv82j8tlfc,Beehive,1,0,Nos
,,,,,,lv8ofhknl1,Moments - English Suppl. Rdr,1,0,Nos
,,,,,,lv88rrtg51,Words and Expressions 1,1,0,Nos
,,,,,,lv8r77f8t6,Contemporary India - Geography Grade 9,1,0,Nos
,,,,,,lv8jjqejqg,India & Contemporary World History Grade 9,1,0,Nos
,,,,,,lv8j04pq34,Democratic Politics Grade 9,1,0,Nos
,,,,,,lv88s9rfq9,Economics Textbook,1,0,Nos
,,,,,,lv8biak1i4,Panoramic - Indian Painting 9,1,243,Nos
,,,,,,lv8rnjbesv,Computer applications by Sumita Arora Gr IX,1,0,Nos
,,,,,,lv8o6vl8v7,Comprehensive Home Science for Class IX- Anju Chauhan,1,0,Nos
,,,,,,lv8g84vghi,CM Crown 200 pages Single ruled,12,47.41,Nos
,,,,,,lv8abc73ff,CM Crown 200 pages Maths ruled,6,47.41,Nos
,,,,,,lv8pqfo1ke,CM 50 Pages Plain Drawing Book,1,22.93,Nos
,,,,,,lv81qkagl1,CM Long 50 Pages Graph Book,1,22.44,Nos
,,,,,,lv8ivpfpb4,CM 200 Pages OSR Single Ruled Record Book,2,68.36,Nos
,,,,,,lv80qbavn7,CM 100 Pages OSR Single Ruled Record Book,2,42.4,Nos
,,,,,,lv8a5aln44,CM Crown 100 pages Plain Book,1,22.5,Nos
,,,,,,lv8sf6th2a,SAS Flat File,1,13.14,Nos
,,,,,,lv8nhdik9n,File Folder,1,4.43,Nos
,,,,,,lv8s3kmlrs,A4 Size Colour Paper Packet (25 sheets),1,19.42,Nos
,,,,,,lv8hpms3mb,Transparent Roll,1,33.75,Nos
,,,,,,lv82ivgd84,SAS KS Label Sheet,1,4.24,Nos
,,,,,,lv85stp3na,Poster Paint (6 Shades),1,50,Nos
,,,,,,lv8pd3r4il,"Flat Brushes - Size 1,3,5,6",6,88.75,Nos
,,,,,,lv83hbm9ce,A4 Size Plain Sheets (25 sheets),2,18.64,Nos
,,,,,,lv8tmufphp,Opendoor Thinking Assessment-SAS,2,480,Nos
,,,,,,lv8e2hnr4f,Worksheet,1,300,Nos
,,,,,,lv8ov2ksod,SAS KS Almanac,1,75,Nos
,,,,,,lv8blb4rks,SAS KS Mini Almanac,1,12,Nos
,,,,,,lv80gs3pq2,SAS KS ID Card,1,78,Nos
,,,,,,lv8gnsuhbr,DSE KIT,1,0,Nos
BOM-Grade 9 DSE - (HI/CA/HS/SST)-001,Grade 9 DSE - (HI/CA/HS/SST),Inventre Edu Services Pvt Ltd,1,INR,1,eamm6j0lg3,Beehive,1,0,Nos
,,,,,,eamhegbe5a,Moments - English Suppl. Rdr,1,0,Nos
,,,,,,eamqpgd5lr,Words and Expressions 1,1,0,Nos
,,,,,,eamgvpr76o,Contemporary India - Geography Grade 9,1,0,Nos
,,,,,,eambjpdg6u,India & Contemporary World History Grade 9,1,0,Nos
,,,,,,eamvt19q5s,Democratic Politics Grade 9,1,0,Nos
,,,,,,eamjd99icj,Economics Textbook,1,0,Nos
,,,,,,eamaehmsa6,Anmol hindi Vyakaran thatha rachana - 9,1,244.8,Nos
,,,,,,eamk03sbmb,Sparsh Grade 9,1,0,Nos
,,,,,,eamli67se7,Sanchayan I,1,0,Nos
,,,,,,eam5163a5m,Computer applications by Sumita Arora Gr IX,1,0,Nos
,,,,,,eamaaqopu6,Comprehensive Home Science for Class IX- Anju Chauhan,1,0,Nos
,,,,,,eam6scaugc,CM Crown 200 pages Single ruled,12,47.41,Nos
,,,,,,eam1qt7pus,CM Crown 200 pages Maths ruled,6,47.41,Nos
,,,,,,eamg5l39k0,CM 50 Pages Plain Drawing Book,1,22.93,Nos
,,,,,,eamh9qmt3c,CM Long 50 Pages Graph Book,1,22.44,Nos
